age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
44,technician,single,secondary,no,29,yes,no,unknown,5,may,151,1,-1,0,unknown,no
42,entrepreneur,divorced,tertiary,yes,2,yes,no,unknown,5,may,380,1,-1,0,unknown,no
53,technician,married,secondary,no,6,yes,no,unknown,5,may,517,1,-1,0,unknown,no
51,retired,married,primary,no,229,yes,no,unknown,5,may,353,1,-1,0,unknown,no
45,admin.,single,unknown,no,13,yes,no,unknown,5,may,98,1,-1,0,unknown,no
57,blue-collar,married,primary,no,52,yes,no,unknown,5,may,38,1,-1,0,unknown,no
60,retired,married,primary,no,60,yes,no,unknown,5,may,219,1,-1,0,unknown,no
56,management,married,tertiary,no,779,yes,no,unknown,5,may,164,1,-1,0,unknown,no
32,blue-collar,single,primary,no,23,yes,yes,unknown,5,may,160,1,-1,0,unknown,no
44,admin.,married,secondary,no,-372,yes,no,unknown,5,may,172,1,-1,0,unknown,no
37,admin.,single,secondary,no,0,yes,no,unknown,5,may,137,1,-1,0,unknown,no
44,services,divorced,secondary,no,2586,yes,no,unknown,5,may,160,1,-1,0,unknown,no
36,admin.,single,primary,no,-171,yes,no,unknown,5,may,242,1,-1,0,unknown,no
42,admin.,single,secondary,no,-76,yes,no,unknown,5,may,787,1,-1,0,unknown,no
40,blue-collar,single,unknown,no,24,yes,no,unknown,5,may,185,1,-1,0,unknown,no
35,blue-collar,single,secondary,no,12223,yes,yes,unknown,5,may,177,1,-1,0,unknown,no
53,technician,married,secondary,no,384,yes,no,unknown,5,may,176,1,-1,0,unknown,no
49,services,divorced,secondary,no,0,yes,yes,unknown,5,may,272,1,-1,0,unknown,no
60,blue-collar,married,unknown,no,54,yes,no,unknown,5,may,221,1,-1,0,unknown,no
57,entrepreneur,divorced,secondary,no,-37,no,no,unknown,5,may,173,1,-1,0,unknown,no
27,technician,single,tertiary,no,0,yes,no,unknown,5,may,400,1,-1,0,unknown,no
34,admin.,married,secondary,no,61,no,yes,unknown,5,may,21,1,-1,0,unknown,no
41,admin.,married,secondary,no,351,yes,no,unknown,5,may,518,1,-1,0,unknown,no
31,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,143,1,-1,0,unknown,no
23,blue-collar,married,secondary,no,94,yes,no,unknown,5,may,193,1,-1,0,unknown,no
59,blue-collar,married,secondary,no,57,yes,no,unknown,5,may,98,1,-1,0,unknown,no
60,retired,divorced,secondary,no,216,yes,no,unknown,5,may,238,1,-1,0,unknown,no
47,services,single,secondary,no,176,yes,no,unknown,5,may,303,2,-1,0,unknown,no
54,admin.,married,tertiary,no,184,no,no,unknown,5,may,673,2,-1,0,unknown,yes
35,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,1056,1,-1,0,unknown,no
35,services,married,secondary,no,59,yes,no,unknown,5,may,1077,1,-1,0,unknown,no
31,management,single,tertiary,no,0,yes,no,unknown,5,may,562,1,-1,0,unknown,no
42,admin.,married,secondary,no,445,yes,no,unknown,5,may,67,1,-1,0,unknown,no
43,management,married,tertiary,no,400,yes,no,unknown,5,may,256,1,-1,0,unknown,no
40,unemployed,married,secondary,no,219,yes,no,unknown,5,may,357,1,-1,0,unknown,no
35,entrepreneur,divorced,secondary,no,-69,yes,no,unknown,5,may,300,1,-1,0,unknown,no
33,management,single,tertiary,no,34,yes,no,unknown,5,may,27,1,-1,0,unknown,no
53,blue-collar,married,unknown,no,1827,no,no,unknown,5,may,121,1,-1,0,unknown,no
49,blue-collar,divorced,primary,no,-9,yes,yes,unknown,5,may,389,1,-1,0,unknown,no
38,admin.,married,secondary,no,0,no,no,unknown,5,may,151,1,-1,0,unknown,no
42,management,married,unknown,no,275,no,no,unknown,5,may,408,2,-1,0,unknown,no
50,management,single,tertiary,no,297,yes,no,unknown,5,may,119,1,-1,0,unknown,no
39,blue-collar,married,primary,no,279,yes,no,unknown,5,may,361,1,-1,0,unknown,no
59,entrepreneur,divorced,secondary,no,901,yes,no,unknown,5,may,73,3,-1,0,unknown,no
30,technician,single,secondary,no,2573,yes,no,unknown,5,may,67,2,-1,0,unknown,no
30,student,single,tertiary,no,25,yes,no,unknown,5,may,89,2,-1,0,unknown,no
41,blue-collar,married,primary,no,183,yes,yes,unknown,5,may,110,2,-1,0,unknown,no
37,admin.,married,secondary,no,190,yes,no,unknown,5,may,92,2,-1,0,unknown,no
49,services,married,secondary,no,47,no,no,unknown,5,may,234,2,-1,0,unknown,no
24,student,single,secondary,no,423,yes,no,unknown,5,may,226,3,-1,0,unknown,no
54,management,married,tertiary,no,0,no,no,unknown,5,may,120,2,-1,0,unknown,no
57,technician,married,secondary,no,792,yes,no,unknown,5,may,65,2,-1,0,unknown,no
36,services,single,secondary,no,62,yes,no,unknown,5,may,215,2,-1,0,unknown,no
33,admin.,single,tertiary,no,193,no,no,unknown,5,may,132,2,-1,0,unknown,no
36,blue-collar,married,secondary,no,539,yes,yes,unknown,5,may,453,2,-1,0,unknown,no
51,technician,single,secondary,no,0,yes,no,unknown,5,may,364,2,-1,0,unknown,no
57,technician,married,unknown,no,206,yes,no,unknown,5,may,216,3,-1,0,unknown,no
42,blue-collar,married,unknown,no,57,yes,no,unknown,5,may,425,2,-1,0,unknown,no
45,management,divorced,tertiary,no,24598,yes,no,unknown,5,may,313,3,-1,0,unknown,no
42,admin.,single,secondary,no,1022,yes,no,unknown,5,may,146,2,-1,0,unknown,no
40,blue-collar,divorced,secondary,no,-333,yes,no,unknown,5,may,183,2,-1,0,unknown,no
36,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,195,2,-1,0,unknown,no
44,blue-collar,single,secondary,no,34,yes,no,unknown,5,may,404,4,-1,0,unknown,no
40,blue-collar,married,secondary,no,211,yes,no,unknown,5,may,216,4,-1,0,unknown,no
59,admin.,married,secondary,no,230,yes,no,unknown,6,may,190,3,-1,0,unknown,no
38,admin.,divorced,secondary,no,308,yes,no,unknown,6,may,102,1,-1,0,unknown,no
43,blue-collar,married,secondary,no,1205,yes,no,unknown,6,may,769,2,-1,0,unknown,no
42,housemaid,married,primary,no,17,yes,no,unknown,6,may,124,1,-1,0,unknown,no
52,technician,married,unknown,no,7,no,no,unknown,6,may,203,2,-1,0,unknown,no
50,management,married,tertiary,no,0,no,no,unknown,6,may,326,1,-1,0,unknown,no
38,technician,married,secondary,no,284,yes,no,unknown,6,may,483,1,-1,0,unknown,no
55,admin.,married,secondary,no,131,yes,no,unknown,6,may,744,1,-1,0,unknown,no
35,management,single,tertiary,no,560,yes,no,unknown,6,may,181,1,-1,0,unknown,no
34,blue-collar,married,secondary,no,270,yes,yes,unknown,6,may,159,1,-1,0,unknown,no
58,blue-collar,divorced,secondary,no,-11,no,no,unknown,6,may,112,1,-1,0,unknown,no
39,unemployed,married,primary,no,408,yes,no,unknown,6,may,53,1,-1,0,unknown,no
55,blue-collar,married,secondary,no,52,yes,no,unknown,6,may,182,1,-1,0,unknown,no
40,blue-collar,married,primary,no,668,yes,no,unknown,6,may,283,2,-1,0,unknown,no
50,management,married,tertiary,no,964,yes,no,unknown,6,may,323,1,-1,0,unknown,no
31,management,single,secondary,no,301,yes,no,unknown,6,may,82,1,-1,0,unknown,no
43,blue-collar,divorced,secondary,no,110,yes,yes,unknown,6,may,448,1,-1,0,unknown,no
47,technician,married,unknown,no,178,yes,no,unknown,6,may,169,1,-1,0,unknown,no
32,technician,married,secondary,no,0,yes,no,unknown,6,may,176,2,-1,0,unknown,no
30,blue-collar,divorced,secondary,no,-209,yes,no,unknown,6,may,188,2,-1,0,unknown,no
39,admin.,single,secondary,no,0,yes,no,unknown,6,may,174,2,-1,0,unknown,no
46,admin.,married,primary,no,276,yes,yes,unknown,6,may,157,2,-1,0,unknown,no
45,blue-collar,married,primary,no,1297,yes,no,unknown,6,may,233,2,-1,0,unknown,no
50,management,divorced,secondary,no,1716,yes,no,unknown,6,may,82,1,-1,0,unknown,no
31,technician,married,secondary,no,17,yes,yes,unknown,6,may,120,1,-1,0,unknown,no
48,management,divorced,unknown,no,549,yes,no,unknown,6,may,427,1,-1,0,unknown,no
30,admin.,divorced,secondary,no,83,yes,yes,unknown,6,may,310,1,-1,0,unknown,no
48,blue-collar,married,secondary,no,157,yes,no,unknown,6,may,73,1,-1,0,unknown,no
45,blue-collar,married,primary,no,-66,yes,no,unknown,6,may,263,2,-1,0,unknown,no
45,blue-collar,married,secondary,no,82,yes,no,unknown,6,may,250,1,-1,0,unknown,no
56,services,married,secondary,no,473,yes,no,unknown,6,may,416,1,-1,0,unknown,no
30,admin.,married,secondary,no,46,yes,no,unknown,6,may,114,2,-1,0,unknown,no
47,self-employed,married,unknown,no,935,yes,no,unknown,6,may,225,1,-1,0,unknown,no
36,admin.,married,secondary,no,-106,yes,no,unknown,6,may,130,2,-1,0,unknown,no
39,services,divorced,primary,no,471,yes,no,unknown,6,may,161,2,-1,0,unknown,no
56,admin.,divorced,secondary,no,778,yes,no,unknown,6,may,149,2,-1,0,unknown,no
35,entrepreneur,married,secondary,yes,204,yes,no,unknown,6,may,424,2,-1,0,unknown,no
28,services,single,secondary,no,5090,yes,no,unknown,6,may,1297,3,-1,0,unknown,yes
54,services,married,secondary,no,193,no,no,unknown,6,may,179,1,-1,0,unknown,no
55,services,divorced,primary,no,2298,yes,no,unknown,6,may,162,2,-1,0,unknown,no
44,management,married,tertiary,no,17,yes,no,unknown,6,may,352,2,-1,0,unknown,no
28,services,divorced,secondary,no,89,no,no,unknown,6,may,174,2,-1,0,unknown,no
37,blue-collar,married,secondary,no,395,yes,no,unknown,6,may,219,2,-1,0,unknown,no
51,blue-collar,married,secondary,no,50,yes,yes,unknown,6,may,121,1,-1,0,unknown,no
51,blue-collar,married,primary,no,653,yes,yes,unknown,6,may,208,1,-1,0,unknown,no
31,blue-collar,single,tertiary,no,60,yes,yes,unknown,6,may,389,1,-1,0,unknown,no
39,blue-collar,married,primary,no,2226,yes,no,unknown,6,may,158,1,-1,0,unknown,no
42,blue-collar,married,primary,no,15,yes,no,unknown,6,may,230,1,-1,0,unknown,no
42,technician,single,secondary,no,0,yes,no,unknown,6,may,293,1,-1,0,unknown,no
44,self-employed,divorced,tertiary,no,4,yes,no,unknown,6,may,312,3,-1,0,unknown,no
28,technician,single,secondary,no,312,yes,no,unknown,6,may,392,1,-1,0,unknown,no
38,management,married,unknown,no,1349,yes,no,unknown,6,may,100,1,-1,0,unknown,no
35,admin.,single,secondary,no,148,yes,no,unknown,6,may,128,2,-1,0,unknown,no
46,services,married,unknown,no,80,yes,no,unknown,6,may,245,2,-1,0,unknown,no
40,management,single,tertiary,no,242,yes,no,unknown,6,may,221,2,-1,0,unknown,no
39,services,married,secondary,no,1205,yes,no,unknown,6,may,118,2,-1,0,unknown,no
44,entrepreneur,married,tertiary,no,1631,yes,no,unknown,6,may,346,2,-1,0,unknown,no
40,admin.,married,secondary,no,6,yes,no,unknown,6,may,60,3,-1,0,unknown,no
57,management,married,tertiary,no,2142,yes,no,unknown,6,may,251,3,-1,0,unknown,no
46,blue-collar,married,unknown,no,401,yes,no,unknown,6,may,306,2,-1,0,unknown,no
33,admin.,married,secondary,no,21,no,no,unknown,6,may,189,3,-1,0,unknown,no
44,technician,single,unknown,no,78,yes,no,unknown,6,may,13,6,-1,0,unknown,no
40,blue-collar,divorced,secondary,no,0,yes,no,unknown,6,may,121,2,-1,0,unknown,no
56,retired,divorced,primary,no,4,yes,no,unknown,6,may,31,3,-1,0,unknown,no
41,admin.,divorced,secondary,no,322,yes,no,unknown,6,may,87,4,-1,0,unknown,no
53,retired,married,secondary,no,303,yes,no,unknown,6,may,593,2,-1,0,unknown,no
39,blue-collar,married,secondary,no,607,yes,no,unknown,6,may,99,2,-1,0,unknown,no
38,admin.,married,secondary,no,3047,yes,no,unknown,6,may,285,2,-1,0,unknown,no
52,blue-collar,married,primary,no,58,yes,no,unknown,6,may,213,3,-1,0,unknown,no
47,entrepreneur,married,unknown,no,209,yes,no,unknown,6,may,135,2,-1,0,unknown,no
34,management,married,tertiary,no,105,yes,no,unknown,6,may,314,3,-1,0,unknown,no
40,blue-collar,married,primary,no,-7,yes,no,unknown,6,may,410,2,-1,0,unknown,no
41,blue-collar,married,primary,no,512,yes,no,unknown,6,may,233,2,-1,0,unknown,no
37,blue-collar,single,secondary,no,88,yes,no,unknown,6,may,128,2,-1,0,unknown,no
30,admin.,single,secondary,no,115,yes,no,unknown,6,may,66,3,-1,0,unknown,no
37,admin.,single,secondary,no,569,yes,yes,unknown,6,may,126,2,-1,0,unknown,no
48,admin.,married,secondary,no,3754,yes,no,unknown,6,may,249,3,-1,0,unknown,no
42,services,married,secondary,no,0,yes,no,unknown,7,may,132,3,-1,0,unknown,no
39,admin.,married,secondary,no,20,yes,no,unknown,7,may,124,2,-1,0,unknown,no
30,admin.,married,secondary,no,4,no,no,unknown,7,may,172,8,-1,0,unknown,no
29,student,single,tertiary,no,185,yes,no,unknown,7,may,141,3,-1,0,unknown,no
