,features,importance
0,duration,1.02677101023
1,poutcome_success,0.393244228748
2,month_mar,0.245966457748
3,education,0.208232858961
4,month_oct,0.195501418663
5,month_feb,0.182901441113
6,housing_no,0.164406221541
7,month_sep,0.141113827589
8,month_apr,0.126968513567
9,day_27,0.116138617922
10,month_dec,0.115292334591
11,day_12,0.109161703597
12,pdays,0.0968318952255
13,day_18,0.0935660211412
14,day_25,0.0881394709259
15,day_30,0.0818390076832
16,loan_no,0.0804652872815
17,month_jun,0.075942351584
18,day_14,0.0722156260772
19,previous,0.0681386173004
20,day_13,0.0589165497606
21,day_15,0.0491833346687
22,day_22,0.0405971772374
23,day_16,0.0374782246288
24,poutcome_other,0.0317758783303
25,day_23,0.028201511511
26,day_26,0.0274148217624
27,balance,0.0245090621521
28,day_21,0.0227031681974
29,day_11,0.0161900132865
30,day_24,0.0161454626573
31,day_31,0.0156158860291
32,day_3,0.00859933120524
33,day_29,0.00707430318448
34,default_no,0.00568815086745
35,day_9,0.00396939329012
36,day_10,0.00170136990854
37,day_4,-0.00290596010951
38,default_yes,-0.00568815086745
39,day_8,-0.0144557474288
40,day_1,-0.0154791119317
41,day_28,-0.0219563341375
42,month_nov,-0.0295760255697
43,month_aug,-0.0394177557315
44,month_jul,-0.0401891067735
45,day_5,-0.0415239033179
46,day_6,-0.044120530819
47,age,-0.0445164942153
48,poutcome_failure,-0.0600819871679
49,loan_yes,-0.0804652872815
50,day_19,-0.0878021505803
51,day_17,-0.0948731828691
52,day_7,-0.104611754705
53,month_jan,-0.13716805139
54,poutcome_unknown,-0.152554642883
55,housing_yes,-0.164406221541
56,day_20,-0.174421920528
57,day_2,-0.177098636458
58,month_may,-0.252378391198
59,campaign,-0.41459320036
