,features,importance
0,poutcome_success,0.399401591436
1,duration,0.209160267308
2,month_sep,0.0771376538659
3,pdays,0.0737893431654
4,poutcome_unknown,0.0478261673188
5,age,0.0461495671832
6,previous,0.0291818334523
7,month_mar,0.0274780915557
8,housing_yes,0.0212850146556
9,month_oct,0.0198832828431
10,month_dec,0.0167716786077
11,balance,0.0116273573115
12,loan_yes,0.00384153974703
13,month_may,0.00382605079675
14,day_1,0.00217866658735
15,housing_no,0.00210445136022
16,campaign,0.00128821955442
17,day_14,0.000994636708264
18,day_12,0.000953521531525
19,day_23,0.00090929065228
20,month_jul,0.000787895727623
21,day_2,0.000707641467709
22,day_22,0.000587887982262
23,day_17,0.000382543010222
24,day_19,0.00036397342157
25,day_15,0.000314110946809
26,day_3,0.000300195993723
27,education,0.000257580967379
28,day_5,0.000213150921294
29,day_16,0.000209808742134
30,day_28,8.69851787453e-05
31,default_yes,0.0
32,day_30,0.0
33,day_31,0.0
34,loan_no,0.0
35,month_apr,0.0
36,month_aug,0.0
37,month_feb,0.0
38,default_no,0.0
39,poutcome_failure,0.0
40,month_jan,0.0
41,poutcome_other,0.0
42,month_jun,0.0
43,day_29,0.0
44,day_24,0.0
45,day_4,0.0
46,day_25,0.0
47,day_6,0.0
48,day_7,0.0
49,day_8,0.0
50,day_9,0.0
51,day_10,0.0
52,day_11,0.0
53,day_13,0.0
54,day_27,0.0
55,day_26,0.0
56,day_18,0.0
57,day_20,0.0
58,day_21,0.0
59,month_nov,0.0
